Gemeente;open vld;N-VA;VLAAMS BELANG;CD&V;PVDA;GROEN;SP.A;DierAnimal;de coöperatie;RP;Be.One;UF;PRO;PV&S;D-SA;Piratenpartij;Genoeg vr iedereen;Burgerlijst;sp.a-one.brussels
Evergem;2576;5868;5476;3991;1410;1882;2225;291;26;16;32;0;0;0;0;0;0;0;0
Galmaarden;566;1407;1251;1727;170;357;373;58;0;0;0;18;63;0;0;0;0;0;0
Ganshoren;424;566;242;217;103;351;0;0;0;0;0;0;0;0;0;0;0;0;223
Gavere;2057;2177;1606;1057;328;814;895;59;7;9;5;0;0;0;0;0;0;0;0
Geel;2187;8070;5834;4495;1691;1956;1966;201;0;0;23;0;0;34;19;101;62;50;0
Geetbets;803;953;931;599;156;168;526;45;0;0;0;2;7;0;0;0;0;0;0
Genk;2496;8626;6604;8657;3935;2522;5772;0;0;36;0;0;111;0;186;0;0;0;0
Gent;24629;24904;18697;13215;17417;31967;19874;1688;204;167;1122;0;0;0;0;0;0;0;0
Geraardsbergen;3113;4080;6606;2769;1063;1329;2983;277;22;25;45;0;0;0;0;0;0;0;0
Gingelom;674;1004;1053;609;231;315;1750;0;0;21;0;0;12;0;7;0;0;0;0
Gistel;1424;1276;1847;2010;300;496;904;79;0;0;0;0;0;0;0;49;0;0;0
Glabbeek;434;1262;509;580;156;330;400;45;0;0;0;6;6;0;0;0;0;0;0
Gooik;741;1713;1123;1972;146;389;307;48;0;0;0;17;46;0;0;0;0;0;0
Grimbergen;3649;5691;2686;2055;1284;3108;1924;376;0;0;0;1057;77;0;0;0;0;0;0
Grobbendonk;1226;2422;1702;844;358;569;640;47;0;0;4;0;0;0;1;27;19;48;0
Haacht;1773;2765;1417;1122;402;1246;989;99;0;0;0;8;21;0;0;0;0;0;0
Haaltert;2059;2868;3913;1436;379;686;1176;97;16;10;17;0;0;0;0;0;0;0;0
Halen;725;1462;1122;1546;296;410;759;0;0;15;0;0;5;0;7;0;0;0;0
Halle;2672;6668;3703;2529;1324;2675;3259;373;0;0;0;437;206;0;0;0;0;0;0
Ham;851;1603;1907;1045;511;412;783;0;0;11;0;0;28;0;12;0;0;0;0
Hamme;1682;3728;4192;3075;683;1297;1566;254;11;13;55;0;0;0;0;0;0;0;0
Hamont-Achel;515;1652;1518;1602;365;397;502;0;0;6;0;0;97;0;13;0;0;0;0
